"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";57,6;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";56,6;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";56,2;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";57,0;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";57,2;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";57,1;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";58,3;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";59,2;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";59,9;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";61,6;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";62,8;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";64,2;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";68,4;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";69,7;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";71,0;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";71,4;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";71,8;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";60,5;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";57,9;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";55,5;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";53,6;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";52,6;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";51,7;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";51,4;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";51,5;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";51,4;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";52,1;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";53,1;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";54,3;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";55,7;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";56,9;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";58,6;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";60,6;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";63,0;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";65,2;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";69,8;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";71,6;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";73,0;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";74,2;"osoba";"";
0205000;"Powiat jaworski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";74,8;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";56,9;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";54,4;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";53,1;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";51,5;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";50,8;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";50,6;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";50,2;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";50,0;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";49,8;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";50,7;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";51,7;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";53,3;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";54,7;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";56,5;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";58,4;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";60,7;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";62,6;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";64,5;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";69,5;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";71,0;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";71,8;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";72,7;"osoba";"";
0206000;"Powiat karkonoski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";72,7;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";61,8;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";59,4;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";57,4;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";56,0;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";55,5;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";55,1;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";55,0;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";55,2;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";55,0;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";55,6;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";56,1;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";56,6;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";57,4;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";58,5;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";60,4;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";62,2;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";63,7;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";65,0;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";68,5;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";69,8;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";70,6;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";70,8;"osoba";"";
0207000;"Powiat kamiennogórski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";71,3;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";59,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";57,5;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";55,8;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";54,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";54,0;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";53,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";53,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";53,8;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";53,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";54,4;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";55,3;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";56,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";58,0;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";59,7;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";61,7;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";63,9;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";66,1;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";68,0;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";72,9;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";74,3;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";75,6;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";76,4;"osoba";"";
0208000;"Powiat kłodzki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";77,1;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";61,7;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";59,0;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";56,8;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";54,6;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";53,6;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";53,0;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";52,5;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";52,4;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";52,3;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";52,5;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";52,9;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";53,7;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";54,8;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";56,1;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";57,9;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";59,8;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";61,9;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";63,8;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";67,8;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";69,3;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";71,2;"osoba";"";
0209000;"Powiat legnicki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";72,9;"osoba";"";
